SAMPLE_ID,BAM
SC056068_1,40X/SC056068_1.bam
SC056068_2,40X/SC056068_2.bam
SC056073_1,40X/SC056073_1.bam
SC056073_2,40X/SC056073_2.bam
SC056082_1,40X/SC056082_1.bam
SC056082_2,40X/SC056082_2.bam
SC074198_1,40X/SC074198_1.bam
SC074198_2,40X/SC074198_2.bam
SC074199_1,40X/SC074199_1.bam
SC074199_2,40X/SC074199_2.bam
SC074201_1,40X/SC074201_1.bam
SC074201_2,40X/SC074201_2.bam
SC109440_1,40X/SC109440_1.bam
SC109440_2,40X/SC109440_2.bam
SC109446_1,40X/SC109446_1.bam
SC109446_2,40X/SC109446_2.bam
SC109448_1,40X/SC109448_1.bam
SC109448_2,40X/SC109448_2.bam
SC109457_1,40X/SC109457_1.bam
SC109457_2,40X/SC109457_2.bam
SC109459_1,40X/SC109459_1.bam
SC109459_2,40X/SC109459_2.bam
SC109515_1,40X/SC109515_1.bam
SC109515_2,40X/SC109515_2.bam
SC260670_1,40X/SC260670_1.bam
SC260670_2,40X/SC260670_2.bam
SC260700_1,40X/SC260700_1.bam
SC260700_2,40X/SC260700_2.bam
SC260706_1,40X/SC260706_1.bam
SC260706_2,40X/SC260706_2.bam
SC260709_1,40X/SC260709_1.bam
SC260709_2,40X/SC260709_2.bam
SC260720_1,40X/SC260720_1.bam
SC260720_2,40X/SC260720_2.bam
SC260721_1,40X/SC260721_1.bam
SC260721_2,40X/SC260721_2.bam
SC501095_1,40X/SC501095_1.bam
SC501095_2,40X/SC501095_2.bam
SC501096_1,40X/SC501096_1.bam
SC501096_2,40X/SC501096_2.bam
SC501105_1,40X/SC501105_1.bam
SC501105_2,40X/SC501105_2.bam
SC501108_1,40X/SC501108_1.bam
SC501108_2,40X/SC501108_2.bam
SC501110_1,40X/SC501110_1.bam
SC501110_2,40X/SC501110_2.bam
SC501111_1,40X/SC501111_1.bam
SC501111_2,40X/SC501111_2.bam
